"Laimnesis, Solvita, Solvija"
"Indulis, Ivo, Iva, Ivis"
"Miervaldis, Miervalda, Ringolds"
"Spodra, Ilva, Ilvita"
"S?manis, Zintis"
"Spulga, Arnita"
"Rota, Zigm?rs, Juli?ns, Digm?rs"
"Gatis, Ivanda"
"Kaspars, Aksels, Alta"
"Tatjana, Dorisa"
"Smaida, Franciska"
"Reinis, Reina, Reinholds, Ren?ts"
"Harijs, ?rijs, ?ris, Aira"
"Roberts, Roberta, Raitis, Raits"
"F?likss, Felicita"
"Lidija, Lida"
"Tenis, Dravis"
"Antons, Antis, Antonijs"
"Andulis, Alnis"
"O??erts, Orests, A??irds, A??is"
"Agnese, Agnija, Agne"
Austris
"Grieta, Strauta, Rebeka"
"Kri?s, Ksenija, Eglons, Egle"
"Zigurds, Sigurds, Sigvards"
"Ansis, Agnis, Agneta"
"Ilze, Ildze, Izolde"
"K?rlis, Spodris"
"Aivars, Val?rijs, Bille"
"T?na, Valent?na, P?rsla"
"Tekla, Violeta"
"Brigita, Indra, Indars, Indris"
"Sp?dola, Sonora"
"A?da, Ida, Vida"
"Daila, Veronika, Dominiks"
"Agate, Selga, Silga, Sinilga"
"Dace, D?rta, Dora"
"Nelda, Rihards, Ri?ards, Ri?ards"
"Aldona, ?eslavs"
"Simona, Apolonija"
"Paul?ne, Paula, Jasm?na"
"Laima, Laimdota"
"Karl?na, L?na"
"Malda, Melita"
Valent?ns
"Alvils, Olafs, Aloizs, Olavs"
"J?lija, D?uljeta"
"Donats, Konstance"
"Kora, Kintija"
"Zane, Zuzanna"
"Vitauts, Smuidra, Smuidris"
"Eleonora, Ariadne"
"?rija, Rigonda, Adrians, Adri?na, Adrija"
"Haralds, Almants"
"Di?na, Dina, Dins"
"Alma, Annemarija"
"Evel?na, Aur?lija, M?tra"
"L?vija, L?va, Andra"
"Skaidr?te, Justs, Skaidra"
?
"Ivars, Ilgvars"
"Lav?ze, Lu?ze, Laila"
"T?lis, T?lavs, Marts"
"Alise, Auce, Enija"
"Austra, Aurora"
"Vents, Centis, Gotfr?ds"
"Ella, Elm?ra"
"Dagm?ra, Marga, Margita"
?valds
"Silvija, Laimrota, Lili?na"
"Konstant?ns, Agita"
"Aija, Aiva, Aivis"
"Ernests, Balvis"
"Matilde, Ulrika"
"Amilda, Amalda, Imalda"
"Guntis, Guntars, Guntris"
"?ertr?de, Gerda"
"Ilona, Adel?na"
"J?zeps, Juzefa"
"Made, Irbe"
"Una, Unigunde, Dzelme, Benedikts, Benedikta"
"Tam?ra, Dziedra, Gabriels, Gabriela"
"Mirdza, ?anete, ?anna"
"Kazimirs, Izidors"
"M?ra, M?r?te, Marita, Mare, ?edimins"
"Ei?enija, ?enija"
"Gustavs, Gusts, T?lr?ts, Saulis"
"Gunta, Ginta, Gunda"
"Aldonis, Agija"
"Nanija, Ilgm?rs"
"Gvido, Atvars"
"Dagnis, Dagne"
Irmgarde
"Daira, Dairis, Daiva, Daivis"
"Valda, Herta, ?rvalda, ?rvalds, ?rvaldis"
"Vija, Vidaga, Aivija"
"Zinta, V?lips, Filips, Dzinta"
"Zina, Zina?da, Helmuts"
"Edgars, Danute, Dana, Dans"
"Val?rija, ?ub?te, Alla"
"Anita, Anitra, Z?le, Annika"
"Hermanis, Vilm?rs"
"J?lijs, Ainis"
"Egils, Eg?ls, Nauris"
"Strauja, Gudr?te"
"Aelita, Gastons"
"Mintauts, Alfs, Bernadeta"
"R?dolfs, Vivi?na, R?dis"
"Laura, Jadviga"
"V?sma, Fanija"
"Mirta, Zied?te"
"Mar?ers, Anastasija"
"Armands, Armanda"
"Jur?is, Juris, Georgs"
"Visvaldis, Nameda, Ritvaldis, Ritums"
"L?ksma, B?rbala"
"Al?na, Sandris, R?si??"
"T?le, Raimonda, Raina, Klement?ne"
"Gundega, Ter?ze"
"Vilnis, Raimonds, Laine"
"Lilija, Li?na"
Ziedonis
"Zigmunds, Sigmunds, Zigismunds"
"Gints, Uvis"
"Vizbul?te, Viola, Vijol?te"
"?irts, ?ederts"
"Gaidis, Didzis"
"Henriete, Henrijs, Jete, Enriko"
"Sta?islavs, Sta?islava, Stef?nija"
"Kl?vs, Ein?rs, Erv?ns"
"Maija, Paija"
"Milda, Karmena, Manfreds"
"Valija, In?ra, Ina, In?rs"
"Ir?na, Ir?na, Ira, Ira?da"
"Kri?j?nis, Elfa, Aivita, Elvita"
"Sofija, Taiga, Airita, Arita"
"Edv?ns, Edijs"
"Herberts, Dailis, Umberts"
"Inese, Inesis, ?riks"
"Lita, Sibilla, Teika"
"Venta, Salvis, Selva"
"Ernest?ne, Ingm?rs, Akvel?na"
Em?lija. Visu neparasto un kalend?ros neierakst?to v?rdu diena
"Leont?ne, Leok?dija, Lonija, Ligija"
"Ilvija, Marl?na, Ziedone"
"An?lavs, Junora"
"Edvards, Edvarts, Eduards, Varis"
"Dzidra, Gunita, Loreta, Dzidris"
"Vilis, Vilhelms"
"Maksis, Maksims, Raivis, Raivo"
"Vitolds, Lolita, Let?cija"
"Al?da, J?sma"
"Biruta, Mairita, Berned?ne"
"L?ba, Emma"
"Inta, Ineta, Intra"
"Elfr?da, Sintija, Sindija"
"Igors, Margots, Ingvars"
"Ingr?da, Ardis"
"Gaida, Arnis, Arno"
"Fr?dis, Fr?da, Mundra"
"Ligita, Gita"
"Malva, Anatols, Anatolijs"
"Ingus, Mairis, Vidvuds"
"Nora, Lenora, Ija"
"Zigfr?ds, Ain?rs, Uva"
"Tija, Saiva, Sentis, Santis, Saivis"
"Ba?uta, ?erm?na, Vilija, Vits"
"Just?ne, Juta"
"Art?rs, Artis"
"Alberts, Madis"
"Viktors, Nils"
"Rasma, Rasa, Maira"
"Em?ls, Egita, Monv?ds"
"Ludmila, Laimdots, Laimi??"
L?ga
J?nis
"Milija, Maiga"
"Ausma, Inguna, Ing?na, Inguns, Ausmis"
"Malv?ne, Malvis"
"Viesturs, Kitija, Viestards"
"P?teris, P?vils, Pauls, Paulis"
"T?livaldis, Mareks"
"Imants, Rimants, Ingars, Intars"
"Lauma, Ilvars, Halina"
"Benita, Everita, Verita, Emerita"
"Ulvis, Uldis, Sandis, Sandijs"
"And?s, And?ejs, Ed?te, Esmeralda"
"Anrijs, Ark?dijs"
"Alda, Maruta"
"Antra, Adele, Ada"
"Zaiga, Asne, Asna"
"Lija, Ol?vija, Olivers, Odrija"
"Leonora, Svens"
"Indri?is, Ints, Namejs"
"Margrieta, Margarita"
"Oskars, Ritvars, Anvars"
"Egons, Egmonts, Egija, Henriks, Heinrihs"
"Herm?ne, Estere, Liepa"
"Aleksis, Aleksejs, Alekss"
"Roz?lija, Roze"
"Jautr?te, Kamila, Digna, S?ra"
"Ritma, Ramona"
"Meldra, Meldris, Melisa"
"Marija, Marika, Marina"
"Magda, Magone, M?rija, Magdal?na"
"Krist?ne, Krist?na, Krista, Kristi?na, Kristi?ns"
"J?kabs, ?akl?na"
"Anna, Ance, Annija"
"Marta, Dita, Dite"
"Cec?lija, Cilda"
"Edmunds, Ed?us, Vidmants"
"Valters, Ren?rs, Regn?rs"
"R?ta, Ruta, Angelika, Sigita"
"Alb?ns, Alb?na"
"Normunds, Stefans"
Augusts
"Rom?ns, Romualds, Romualda"
"Osvalds, Arvils"
"Askolds, Aisma"
"Alfr?ds, Madars, Fredis"
"Mud?te, Vladislavs, Vladislava"
"Madara, Genoveva, Genovefa"
"Brencis, Audris, Inuta, Audra"
"Olga, Zita, Liega, Zigita"
"Vizma, Kl?ra"
"Elv?ra, Velga, R?zija"
"Zelma, Zemgus, Virma"
"Zenta, Dzelde, Zelda"
"Astra, Astr?da"
"Vineta, O?egs"
"Liene, Hel?na, Elena, Ellena, Liena"
"Mel?nija, Imanta"
"Bernhards, Boriss, Rojs"
"Jan?na, Linda"
"Rud?te, Everts"
"Vit?lijs, Ralfs, Valgudis"
"B?rtulis, Bo?eslavs"
"Ludvigs, Ludis, Ivonna, Patr?cija, Patriks"
"Nat?lija, T?lija, Bro?islavs, Bro?islava"
"?anis, Jorens, Alens"
"Auguste, Guste"
"Arm?ns, Vismants, Aiga"
"Alvis, Jolanta, Samanta"
"Vilma, Aigars"
"Ilm?rs, Iluta, Austrums"
"El?za, Lizete, Zete"
"Berta, Bella"
"Dzintra, Dzintara, Dzintars"
"Klaudija, Persijs, Vaida"
"Maigonis, Magnuss, Mariuss"
"Reg?na, Erm?ns"
Ilga
"Bruno, Telma"
"Jausma, Albert?ne"
"Signe, Signija"
"Erna, Evita, Eva"
"Iza, Izabella"
"Sanita, Santa, Sanda, Sanija, Sandija"
"Sandra, Gunvaldis, Gunvaris, Sondra"
"Asja, Asnate, D?gs"
"Vera, Vaira, Vairis"
"Liesma, Elita, Alita"
"Verners, Muntis"
"Guntra, Ginters, Marianna"
"Modris, Mat?ss, Mariss"
"M?ris, M?rica, Maigurs"
"Vanda, Veneranda, Venija"
"Agris, Agrita"
"Rodrigo, Rauls"
"Gundars, Kurts, Knuts"
"?dolfs, Ilgonis"
"Sergejs, Svetlana, Lana"
"Mi?elis, Mikus, Miks, Mihails"
"Elma, Menarda, Elna"
"Zanda, L?sma, Zandis"
"Ilma, Skaidris"
"Elza, Ilizana"
"Modra, Francis, Dmitrijs"
"Am?lija, Am?lija"
"Monika, Zilgma, Zilga"
"Daumants, Druvvaldis"
"Aina, Anete"
"Elga, Helga, Elgars"
"Arv?ds, Arvis, Druvis"
"Monta, Tince, Silva"
"Valfr?ds, Kira"
"Irma, Mirga"
"Vilhelm?ne, Minna"
"Eda, Hedviga, Helvijs"
"Daiga, Dinija, Din?rs"
"Gaits, Kar?na, Gaitis"
"Rolands, Rolanda, Ronalds, Erlends, L?kass"
"El?na, Drosma, Drosmis"
"Leon?ds, Leon?da"
"Urzula, Sever?ns"
"?risa, Ir?da, Airisa"
"Daina, Dainis, Dainida"
"Ren?te, Modr?te, Mudr?te"
"Be?te, Beatrise"
"Amanda, Kaiva, Amanta"
"Lilita, Irita, Ita"
"?ina, Ninona, Anto?ina, Oksana"
"Laimonis, Elvijs, Elva, Elvis, Laimis"
"Nad?na, Ulla, Ad?na"
"Valts, Rinalds, Rinalda"
Ikars
"Vivita, Dz?le, Viva"
"?rika, Dagnija"
"Atis, Otom?rs, Oto"
"?arlote, Lote"
"Linards, Leons, Leo, Leonards, Leonarda"
"Helma, Lot?rs"
"Aleksandra, Agra"
Teodors
"M?rti??, M?rcis, Markuss, Marks"
"Oj?rs, Rainers, Nellija"
"Kaija, Korn?lija"
"Ei?ens, Jevge?ijs, Jevge?ija"
"Fricis, Vikentijs, Vincents"
"Leopolds, Und?ne, Unda"
"Banga, Glorija"
"Hugo, Uga, U?is"
"Aleksandrs, Doloresa, Br?ve"
"Elizabete, Liza, L?ze, Betija"
"Anda, And?na, Vigo"
"Zelt?te, Andis"
"Aldis, Alfons, Aldris"
"Zigr?da, Zigfr?da, Zigr?ds"
"Velta, Velda"
"Katr?na, Kate, Kadrija, Tr?ne, Katr?ne"
"Konr?ds, Sebastians"
"Lauris, Norberts"
"Rita, Vita, Olita"
"Ignats, Virg?nija"
"Andrievs, Andrejs, Andris"
"Arnolds, Emanuels"
"Meta, Sniedze"
"Evija, Raita, Jogita"
"Baiba, Barbara, Barba"
"Sab?ne, Sarma, Klaudijs"
"Nikolajs, Nikl?vs, Niks, Nikola"
"Antonija, Anta, Dzirkst?te"
"Gun?rs, Vladimirs, Gunis"
"Tabita, Sarm?te"
"Guna, Jud?te"
"Voldem?rs, Valdem?rs, Valdis"
"Ot?lija, Iveta"
"L?cija, Veldze"
"Auseklis, Gaisma"
"Johanna, Hanna, Jana"
Alv?ne
"Hilda, Teiksma"
"Kristaps, Kristofers, Krists, Klinta, Kristers"
"Lelde, Sarmis"
"Arta, Minjona"
"Toms, Tomass, Saulcer?te"
"Saulvedis, Saule"
"Viktorija, Balva"
"?dams, Ieva"
"Stella, Larisa"
"Dainuv?te, Gija, Megija"
"Elm?rs, Inita, Helm?rs"
"Inga, Ivita, Irvita, Ingeborga"
"Solveiga, Ilgona"
"D?vids, D?vis, D?niels, Daniela, Daniels"
"Silvestrs, Silvis, Kalvis"
